30
x    y    z    ((1<<(angular_quantum_number*2))+magnetic_quantum_number)    number_of_primitives
-0.7634778000  1.1660120000  -0.0014974570  1  4
-0.7634778000  1.1660120000  -0.0014974570  4  4
-0.7634778000  1.1660120000  -0.0014974570  5  4
-0.7634778000  1.1660120000  -0.0014974570  6  4
0.6258698000  1.2439220000  0.0023983550  1  4
0.6258698000  1.2439220000  0.0023983550  4  4
0.6258698000  1.2439220000  0.0023983550  5  4
0.6258698000  1.2439220000  0.0023983550  6  4
1.3975770000  0.0786481900  0.0014848250  1  4
1.3975770000  0.0786481900  0.0014848250  4  4
1.3975770000  0.0786481900  0.0014848250  5  4
1.3975770000  0.0786481900  0.0014848250  6  4
0.7605047000  -1.1675450000  -0.0013963140  1  4
0.7605047000  -1.1675450000  -0.0013963140  4  4
0.7605047000  -1.1675450000  -0.0013963140  5  4
0.7605047000  -1.1675450000  -0.0013963140  6  4
-0.6310211000  -1.2439340000  0.0056554310  1  4
-0.6310211000  -1.2439340000  0.0056554310  4  4
-0.6310211000  -1.2439340000  0.0056554310  5  4
-0.6310211000  -1.2439340000  0.0056554310  6  4
-1.3879900000  -0.0828923300  -0.0102085800  1  4
-1.3879900000  -0.0828923300  -0.0102085800  4  4
-1.3879900000  -0.0828923300  -0.0102085800  5  4
-1.3879900000  -0.0828923300  -0.0102085800  6  4
-1.3408520000  2.1004670000  0.0059722230  1  3
1.1288670000  2.2405390000  -0.0003914102  1  3
2.4585410000  0.1287068000  0.0000017035  1  3
1.3420990000  -2.0816360000  0.0113915400  1  3
-1.1121680000  -2.2092070000  0.0525670200  1  3
-2.4705820000  -0.1206464000  -0.0033552250  1  3
30
x    y    z    ((1<<(angular_quantum_number*2))+magnetic_quantum_number)    number_of_primitives
-0.7637333000  1.1648160000  -0.0024061970  1  4
-0.7637333000  1.1648160000  -0.0024061970  4  4
-0.7637333000  1.1648160000  -0.0024061970  5  4
-0.7637333000  1.1648160000  -0.0024061970  6  4
0.6240379000  1.2441950000  0.0037368530  1  4
0.6240379000  1.2441950000  0.0037368530  4  4
0.6240379000  1.2441950000  0.0037368530  5  4
0.6240379000  1.2441950000  0.0037368530  6  4
1.3994810000  0.0799876000  0.0018858660  1  4
1.3994810000  0.0799876000  0.0018858660  4  4
1.3994810000  0.0799876000  0.0018858660  5  4
1.3994810000  0.0799876000  0.0018858660  6  4
0.7595547000  -1.1666510000  -0.0015659090  1  4
