28
exponent    contraction
51.0493600000  -0.0119841200
8.7911220000  -0.0547205200
0.7064042000  0.5805587000
0.2692281000  0.4770080000
5.8263650000  0.0571317000
1.5106900000  0.2857456000
0.5325648000  0.5517873000
0.2120232000  0.2632315000
5.8263650000  0.0571317000
1.5106900000  0.2857456000
0.5325648000  0.5517873000
0.2120232000  0.2632315000
5.8263650000  0.0571317000
1.5106900000  0.2857456000
0.5325648000  0.5517873000
0.2120232000  0.2632315000
3.3702280000  0.1543290000
0.6138912000  0.5353281000
0.1661429000  0.4446346000
3.3702280000  0.1543290000
0.6138912000  0.5353281000
0.1661429000  0.4446346000
3.3702280000  0.1543290000
0.6138912000  0.5353281000
0.1661429000  0.4446346000
3.3702280000  0.1543290000
0.6138912000  0.5353281000
0.1661429000  0.4446346000
28
exponent    contraction
51.0493600000  -0.0119841200
8.7911220000  -0.0547205200
0.7064042000  0.5805587000
0.2692281000  0.4770080000
5.8263650000  0.0571317000
1.5106900000  0.2857456000
0.5325648000  0.5517873000
0.2120232000  0.2632315000
5.8263650000  0.0571317000
1.5106900000  0.2857456000
0.5325648000  0.5517873000
0.2120232000  0.2632315000
5.8263650000  0.0571317000
1.5106900000  0.2857456000
0.5325648000  0.5517873000
0.2120232000  0.2632315000
3.3702280000  0.1543290000
0.6138912000  0.5353281000
0.1661429000  0.4446346000
3.3702280000  0.1543290000
0.6138912000  0.5353281000
0.1661429000  0.4446346000
3.3702280000  0.1543290000
0.6138912000  0.5353281000
0.1661429000  0.4446346000
3.3702280000  0.1543290000
0.6138912000  0.5353281000
0.1661429000  0.4446346000
28
exponent    contraction
51.0493600000  -0.0119841200
8.7911220000  -0.0547205200
0.7064042000  0.5805587000
0.2692281000  0.4770080000
5.8263650000  0.0571317000
1.5106900000  0.2857456000
0.5325648000  0.5517873000
0.2120232000  0.2632315000
5.8263650000  0.0571317000
1.5106900000  0.2857456000
0.5325648000  0.5517873000
0.2120232000  0.2632315000
5.8263650000  0.0571317000
1.5106900000  0.2857456000
0.5325648000  0.5517873000
0.2120232000  0.2632315000
3.3702280000  0.1543290000
0.6138912000  0.5353281000
0.1661429000  0.4446346000
3.3702280000  0.1543290000
0.6138912000  0.5353281000
0.1661429000  0.4446346000
3.3702280000  0.1543290000
0.6138912000  0.5353281000
0.1661429000  0.4446346000
3.3702280000  0.1543290000
0.6138912000  0.5353281000
0.1661429000  0.4446346000
28
exponent    contraction
51.0493600000  -0.0119841200
8.7911220000  -0.0547205200
0.7064042000  0.5805587000
0.2692281000  0.4770080000
5.8263650000  0.0571317000
1.5106900000  0.2857456000
0.5325648000  0.5517873000
0.2120232000  0.2632315000
